time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.253000,-0.1132,-0.0555,0.0876,0.154
1.256000,-0.0990,-0.0704,0.1164,0.168
1.262000,-0.1251,-0.0679,0.0984,0.173
1.266000,-0.1261,-0.0248,0.1089,0.169
1.271000,-0.1416,-0.0479,0.1056,0.183
1.279000,-0.1454,-0.0724,0.0711,0.177
1.283000,-0.1206,-0.0568,0.0498,0.142
1.287000,-0.0849,-0.0441,0.0464,0.106
1.291000,-0.0952,-0.0718,0.0846,0.146
1.296000,-0.1025,-0.0661,0.0534,0.133
1.301000,-0.0880,-0.0377,0.0364,0.102
1.306000,-0.1001,-0.0425,0.0626,0.125
1.311000,-0.0811,-0.0396,0.0527,0.105
1.316000,-0.1014,-0.0452,0.0485,0.121
1.321000,-0.1221,-0.0668,0.0608,0.152
1.329000,-0.1088,-0.0633,0.0749,0.147
1.332000,-0.1286,-0.0647,0.0745,0.162
1.336000,-0.1201,-0.0614,0.0946,0.165
1.342000,-0.1116,-0.0574,0.0810,0.149
1.346000,-0.1061,-0.0691,0.0679,0.144
1.352000,-0.0801,-0.0617,0.1109,0.150
1.357000,-0.0682,-0.0834,0.0840,0.137
1.361000,-0.0705,-0.0784,0.0508,0.117
1.367000,-0.0896,-0.0425,0.0842,0.130
1.372000,-0.1039,-0.0849,0.0775,0.155
1.377000,-0.1181,-0.1051,0.0813,0.178
1.382000,-0.1071,-0.0619,0.1084,0.164
1.387000,-0.1104,-0.0516,0.0872,0.150
1.394000,-0.1286,-0.0753,0.0538,0.158
1.397000,-0.0911,-0.0882,0.0525,0.137
1.402000,-0.0865,-0.0627,0.0722,0.129
1.407000,-0.1160,-0.0514,0.0747,0.147
1.412000,-0.1008,-0.0662,0.0680,0.138
1.417000,-0.1002,-0.0440,0.0559,0.123
1.422000,-0.1190,-0.0356,0.0663,0.141
1.434000,-0.1047,-0.0455,0.0865,0.143
1.436000,-0.0882,-0.0408,0.1022,0.141
1.437000,-0.0929,-0.0602,0.0982,0.148
1.445000,-0.0917,-0.0529,0.0725,0.128
1.447000,-0.0808,-0.0366,0.0635,0.109
1.452000,-0.0988,-0.0456,0.0598,0.124
1.457000,-0.0994,-0.0537,0.0651,0.130
1.461000,-0.0862,-0.0684,0.0672,0.129
1.467000,-0.1019,-0.0746,0.0678,0.143
1.472000,-0.1296,-0.0665,0.0548,0.156
1.478000,-0.1098,-0.0528,0.0535,0.133
1.482000,-0.1056,-0.0303,0.0658,0.128
1.488000,-0.1009,-0.0423,0.0603,0.125
1.494000,-0.1071,-0.0557,0.0483,0.130
1.497000,-0.1172,-0.0604,0.0731,0.151
1.502000,-0.1136,-0.0532,0.1126,0.169
1.507000,-0.1351,-0.0476,0.0843,0.166
1.512000,-0.1150,-0.0214,0.0766,0.140
1.517000,-0.1044,-0.0462,0.0556,0.127
1.522000,-0.1033,-0.0349,0.0602,0.125
1.527000,-0.1118,-0.0282,0.0702,0.135
1.532000,-0.1169,-0.0536,0.0655,0.144
1.537000,-0.1073,-0.0719,0.0812,0.153
1.542000,-0.1048,-0.0401,0.0442,0.121
1.547000,-0.1051,-0.0440,0.0430,0.122
1.552000,-0.1035,-0.0685,0.0641,0.140
1.557000,-0.1046,-0.0690,0.0813,0.149
1.567000,-0.0991,-0.0760,0.0675,0.142
1.568000,-0.1325,-0.0925,0.0848,0.183
1.575000,-0.1381,-0.0639,0.0712,0.168
1.582000,-0.1090,-0.0420,0.0368,0.122
1.583000,-0.0921,-0.0460,0.0529,0.116
1.588000,-0.0675,-0.0712,0.0515,0.111
1.592000,-0.0759,-0.0801,0.0436,0.119
1.597000,-0.0981,-0.0786,0.0747,0.146
1.602000,-0.0875,-0.0714,0.0714,0.134
1.607000,-0.0647,-0.0366,0.0700,0.102
1.613000,-0.1089,-0.0466,0.0811,0.144
1.617000,-0.1041,-0.0642,0.0683,0.140
1.622000,-0.0915,-0.0529,0.0538,0.119
1.628000,-0.1031,-0.0741,0.0938,0.158
1.632000,-0.0902,-0.0419,0.0972,0.139
1.637000,-0.0828,-0.0524,0.0812,0.127
1.642000,-0.0672,-0.0973,0.0565,0.131
1.647000,-0.0982,-0.0897,0.0353,0.138
1.653000,-0.0956,-0.0396,0.0464,0.113
1.658000,-0.1002,-0.0551,0.0280,0.118
1.662000,-0.1253,-0.0379,0.0924,0.160
1.668000,-0.0919,-0.0342,0.0428,0.107
1.672000,-0.0918,-0.0655,0.1059,0.155
1.679000,-0.0917,-0.0645,0.0820,0.139
1.683000,-0.0931,-0.0656,0.0679,0.133
1.688000,-0.0994,-0.0802,0.0775,0.149
1.693000,-0.1199,-0.0564,0.0884,0.159
1.698000,-0.1458,-0.0707,0.0959,0.188
1.703000,-0.1144,-0.0652,0.0810,0.155
1.708000,-0.0894,-0.0688,0.0683,0.132
1.718000,-0.0910,-0.0597,0.0799,0.135
1.719000,-0.0837,-0.0418,0.0581,0.110
1.723000,-0.0961,-0.0516,0.0485,0.119
1.731000,-0.0833,-0.0394,0.0269,0.096
1.733000,-0.0906,-0.0703,0.0914,0.147
1.737000,-0.1047,-0.0905,0.0769,0.158
1.743000,-0.1141,-0.0913,0.0714,0.163
1.748000,-0.1070,-0.0828,0.1130,0.176
1.752000,-0.0832,-0.0994,0.0963,0.161
1.758000,-0.0682,-0.0526,0.1019,0.133
1.762000,-0.1266,-0.0269,0.1290,0.183
1.768000,-0.0802,-0.0601,0.0868,0.133
1.773000,-0.0978,-0.0774,0.0806,0.148
1.778000,-0.0820,-0.0185,0.0887,0.122
1.784000,-0.1151,-0.0449,0.0859,0.150
1.788000,-0.1128,-0.0827,0.0354,0.144
1.793000,-0.1053,-0.0313,0.0726,0.132
1.798000,-0.1116,-0.0326,0.0933,0.149
1.803000,-0.1289,-0.0744,0.0747,0.166
1.808000,-0.1072,-0.0600,0.0788,0.146
1.818000,-0.0958,-0.0507,0.0878,0.139
1.818000,-0.0987,-0.0562,0.0681,0.132
1.823000,-0.1081,-0.0476,0.0736,0.139
1.831000,-0.0918,-0.0430,0.0652,0.121
1.834000,-0.0714,-0.0449,0.0988,0.130
1.838000,-0.1269,-0.0663,0.0206,0.145
1.843000,-0.1154,-0.0642,0.0902,0.160
1.848000,-0.0990,-0.0793,0.0765,0.148
1.853000,-0.0906,-0.0524,0.0834,0.134
1.858000,-0.0771,-0.0848,0.0707,0.135
1.863000,-0.1124,-0.0705,0.0384,0.138
1.868000,-0.1351,-0.0679,0.0707,0.167
1.873000,-0.0808,-0.0996,0.0763,0.149
1.878000,-0.1039,-0.0474,0.0761,0.137
1.883000,-0.1008,-0.0658,0.0467,0.129
1.888000,-0.1048,-0.0739,0.0932,0.158
1.893000,-0.1032,-0.0545,0.0666,0.134
1.898000,-0.0930,-0.0591,0.0703,0.131
1.903000,-0.0851,-0.0580,0.0517,0.115
1.908000,-0.1022,-0.0323,0.0835,0.136
1.914000,-0.0660,-0.0514,0.0740,0.112
1.918000,-0.0975,-0.0611,0.0411,0.122
1.923000,-0.1138,-0.0316,0.0438,0.126
1.928000,-0.1105,-0.1015,0.0603,0.162
1.936000,-0.0943,-0.0769,0.0622,0.137
1.939000,-0.1210,-0.0902,0.0777,0.170
1.944000,-0.0984,0.0091,0.1004,0.141
1.959000,-0.0636,-0.0587,0.1089,0.139
1.964000,-0.1109,-0.0655,0.0755,0.149
1.964000,-0.0844,-0.0850,0.0454,0.128
1.965000,-0.0754,-0.0723,0.0406,0.112
1.983000,-0.0737,-0.0676,0.0379,0.107
1.985000,-0.0962,-0.0338,0.0527,0.115
1.986000,-0.1053,-0.0723,0.0723,0.147
1.988000,-0.1059,-0.0713,0.0900,0.156
1.991000,-0.0761,-0.0590,0.0578,0.112
1.993000,-0.1172,-0.0288,0.0755,0.142
2.007000,-0.0984,-0.0722,0.0351,0.127
2.008000,-0.1299,-0.0714,0.0303,0.151
2.008000,-0.1341,-0.0657,0.1169,0.190
2.022000,-0.0837,-0.0993,0.0533,0.140
2.022000,-0.1140,-0.0753,0.0863,0.162
2.023000,-0.1048,-0.0517,0.1103,0.161
2.028000,-0.1037,-0.0945,0.0728,0.158
2.039000,-0.1436,-0.0686,0.0483,0.166
2.040000,-0.0743,-0.0817,0.0840,0.139
2.044000,-0.1152,-0.0691,0.0792,0.156
2.057000,-0.1184,-0.0140,0.0734,0.140
2.058000,-0.0931,-0.0764,0.0536,0.132
2.059000,-0.1252,-0.0581,0.1084,0.176
2.074000,-0.1294,-0.0525,0.1117,0.179
2.075000,-0.1208,-0.0365,0.0850,0.152
2.075000,-0.1282,-0.0899,0.1020,0.187
2.079000,-0.0872,-0.0446,0.0656,0.118
2.089000,-0.0965,-0.0627,0.0807,0.141
2.090000,-0.0987,-0.0476,0.1163,0.160
2.094000,-0.1716,-0.0065,0.0645,0.183
2.105000,-0.1109,-0.0397,0.0409,0.125
2.106000,-0.1205,-0.0586,0.0282,0.137
2.109000,-0.1389,-0.0537,0.1125,0.187
2.114000,-0.1058,-0.0492,0.0746,0.138
2.122000,-0.1061,-0.0776,0.0702,0.149
2.124000,-0.1347,-0.0917,0.1126,0.198
2.129000,-0.1299,-0.0343,0.0124,0.135
2.140000,-0.1012,-0.0866,0.0936,0.163
2.141000,-0.0872,-0.0487,0.0367,0.106
2.144000,-0.1488,-0.0531,0.0316,0.161
2.157000,-0.0925,-0.0438,0.0694,0.124
2.158000,-0.0540,-0.0719,0.0605,0.108
2.159000,-0.1054,-0.0440,0.0086,0.115
2.164000,-0.0501,-0.0529,0.0919,0.117
2.173000,-0.1469,-0.0578,0.1032,0.189
2.174000,-0.1076,-0.0254,0.1174,0.161
2.174000,-0.1065,-0.0335,0.0714,0.133
2.179000,-0.1343,-0.0570,0.0745,0.164
2.190000,-0.1169,-0.0993,0.0839,0.175
2.191000,-0.0978,-0.0781,0.0934,0.156
2.194000,-0.0969,-0.0312,0.0526,0.115
2.206000,-0.0786,-0.0838,0.0735,0.136
2.207000,-0.0822,-0.0955,0.0792,0.149
2.209000,-0.1139,-0.0777,0.0794,0.159
2.214000,-0.1021,-0.0722,0.0794,0.148
2.223000,-0.0832,-0.0809,0.1334,0.177
2.224000,-0.1091,-0.0774,0.0428,0.140
2.229000,-0.1200,-0.0591,0.0587,0.146
2.241000,-0.0986,-0.0534,0.0469,0.122
2.243000,-0.0792,-0.0620,0.0992,0.141
2.245000,-0.1352,-0.0405,0.1123,0.180
2.260000,-0.0914,-0.0915,0.0469,0.138
2.262000,-0.1004,-0.0525,0.0675,0.132
2.262000,-0.1015,-0.1054,0.0611,0.159
2.265000,-0.0798,-0.0323,0.0211,0.089
2.276000,-0.1124,-0.0680,0.0867,0.157
2.278000,-0.0596,-0.0379,0.0592,0.092
2.280000,-0.0881,-0.0341,0.0728,0.119
2.296000,-0.0789,-0.0554,0.0833,0.127
2.297000,-0.0732,-0.0449,0.0757,0.114
2.298000,-0.1109,-0.0433,0.0917,0.150
2.300000,-0.0863,-0.0517,0.0726,0.124
2.310000,-0.1162,-0.0951,0.0572,0.161
2.311000,-0.1079,-0.0837,0.0260,0.139
2.315000,-0.1102,-0.0395,0.0220,0.119
2.325000,-0.1025,-0.0334,0.0261,0.111
2.326000,-0.1176,-0.0417,0.1266,0.178
2.332000,-0.0747,-0.0717,0.1624,0.193
2.342000,-0.1007,-0.0678,0.0583,0.135
2.344000,-0.0690,-0.0378,0.0576,0.097
2.345000,-0.0997,-0.1274,0.1095,0.195
2.358000,-0.0489,-0.0577,-0.0211,0.078
2.359000,-0.0716,-0.0593,-0.0451,0.103
2.360000,-0.0893,-0.0621,0.0886,0.140
2.365000,-0.1961,-0.0095,0.0484,0.202
2.375000,-0.1310,-0.0279,0.0846,0.158
2.377000,-0.0706,-0.0129,0.1098,0.131
2.380000,-0.1101,-0.0927,0.0571,0.155
2.392000,-0.1235,-0.0342,0.0976,0.161
2.393000,-0.1044,-0.0821,0.0488,0.142
